INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (5, 'Elizabeth Pines', 'Suite 666', 1049, 'pet-friendly', 'forward.jpg', 2, 2, 'single', NULL, 1926.9, '2025-01-14', '24 months', 'any', 'yes', 'yes', 'no', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (54, 'Gordon Crest', 'Suite 407', 2802, 'gated community', 'agency.jpg', 3, 1, 'single', NULL, 2429.96, '2024-05-19', '20 months', 'yes', 'any', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (56, 'Jose Camp', 'Suite 434', 2526, 'pool access', 'fly.jpg', 4, 1, 'single', NULL, 1933.44, '2024-08-19', '16 months', 'no', 'any', 'yes', 'yes', 'non-veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (59, 'Duncan Overpass', 'Apt. 964', 2289, 'cozy room', 'may.jpg', 3, 1, 'single', NULL, 585.23, '2024-03-19', '16 months', 'any', 'any', 'no', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (63, 'Robin Station', 'Apt. 920', 1069, 'elegant house', 'resource.jpg', 3, 1, 'sharing', 5.0, 1711.58, '2023-10-04', '18 months', 'yes', 'any', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (65, 'Taylor Courts', 'Apt. 552', 1193, 'pet-friendly', 'consider.jpg', 2, 2, 'single', NULL, 591.16, '2023-08-05', '14 months', 'any', 'any', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (66, 'Delgado Islands', 'Suite 769', 2349, 'elegant house', 'wide.jpg', 3, 1, 'sharing', 3.0, 693.27, '2025-04-19', '12 months', 'any', 'any', 'no', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (67, 'Kari Highway', 'Suite 699', 1814, 'gated community', 'performance.jpg', 3, 2, 'single', NULL, 2384.96, '2025-04-13', '13 months', 'any', 'any', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (68, 'Thomas Unions', 'Apt. 742', 892, 'spacious apartment', 'well.jpg', 3, 2, 'single', NULL, 2843.95, '2024-05-07', '19 months', 'any', 'any', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (69, 'Sandra Ford', 'Apt. 663', 2117, 'spacious apartment', 'moment.jpg', 2, 1, 'sharing', 2.0, 617.73, '2024-02-09', '8 months', 'any', 'any', 'no', 'no', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (70, 'Jeremiah Rapids', 'Suite 451', 1994, 'pool access', 'management.jpg', 4, 1, 'sharing', 5.0, 2199.13, '2023-12-05', '16 months', 'no', 'any', 'no', 'no', 'non-veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (71, 'Suarez Walks', 'Apt. 261', 2011, 'modern flat', 'into.jpg', 1, 2, 'sharing', 3.0, 1885.81, '2025-03-11', '13 months', 'any', 'any', 'no', 'yes', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (73, 'Brian Place', 'Suite 659', 795, 'elegant house', 'your.jpg', 3, 1, 'sharing', 4.0, 784.94, '2023-06-18', '7 months', 'any', 'any', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (75, 'Alvarado Meadows', 'Suite 159', 1326, 'pet-friendly', 'right.jpg', 3, 2, 'sharing', 5.0, 2036.58, '2023-12-23', '14 months', 'any', 'any', 'no', 'yes', 'veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (76, 'Jennifer Cove', 'Apt. 937', 2151, 'modern flat', 'prevent.jpg', 2, 1, 'sharing', 4.0, 737.62, '2023-11-06', '7 months', 'any', 'yes', 'yes', 'yes', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (77, 'Stephanie Terrace', 'Suite 017', 1785, 'apartment with parking', 'everything.jpg', 2, 1, 'sharing', 2.0, 1999.79, '2024-03-07', '8 months', 'any', 'no', 'yes', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (80, 'Mccarthy Junction', 'Apt. 289', 1839, 'pool access', 'push.jpg', 1, 2, 'single', NULL, 2236.12, '2023-11-26', '20 months', 'any', 'yes', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (82, 'Jasmine Dale', 'Apt. 973', 2928, 'pet-friendly', 'full.jpg', 2, 1, 'single', NULL, 2376.16, '2024-08-18', '16 months', 'yes', 'any', 'yes', 'yes', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (83, 'Zachary Roads', 'Suite 083', 2982, 'elegant house', 'change.jpg', 2, 2, 'sharing', 5.0, 2901.85, '2024-04-25', '16 months', 'any', 'any', 'no', 'no', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (84, 'Stevenson Forge', 'Suite 678', 924, 'gym facility', 'career.jpg', 4, 1, 'single', NULL, 2321.31, '2024-03-28', '8 months', 'any', 'any', 'yes', 'no', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (85, 'Kelli Union', 'Suite 051', 1403, 'apartment with parking', 'guess.jpg', 3, 2, 'sharing', 3.0, 1608.33, '2025-01-21', '8 months', 'yes', 'any', 'no', 'no', 'non-veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (86, 'Dawn Plains', 'Suite 851', 2202, 'pool access', 'lose.jpg', 4, 1, 'sharing', 3.0, 2508.12, '2023-06-04', '20 months', 'any', 'any', 'yes', 'yes', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (88, 'Lisa Isle', 'Apt. 666', 2468, 'gym facility', 'employee.jpg', 3, 2, 'single', NULL, 2046.96, '2023-11-18', '20 months', 'any', 'yes', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (90, 'Pamela Isle', 'Suite 102', 1275, 'apartment with parking', 'state.jpg', 2, 2, 'single', NULL, 1954.77, '2024-03-12', '8 months', 'any', 'yes', 'yes', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (99, 'Montgomery Mills', 'Apt. 884', 591, 'pool access', 'difference.jpg', 2, 2, 'sharing', 3.0, 2766.48, '2023-05-30', '22 months', 'any', 'any', 'yes', 'no', 'non-veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (103, 'Andrew Cliffs', 'Suite 846', 1669, 'apartment with parking', 'throughout.jpg', 4, 2, 'sharing', 4.0, 1035.98, '2024-12-27', '18 months', 'any', 'no', 'no', 'no', 'veg', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (104, 'Jessica Way', 'Apt. 231', 1604, 'gated community', 'green.jpg', 1, 1, 'single', NULL, 2798.72, '2023-06-09', '15 months', 'any', 'any', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (106, 'Rebecca Place', 'Suite 211', 504, 'pool access', 'rather.jpg', 4, 2, 'sharing', 4.0, 591.46, '2024-01-05', '8 months', 'no', 'any', 'no', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (107, 'Maria Cape', 'Apt. 872', 606, 'apartment with parking', 'detail.jpg', 4, 1, 'sharing', 3.0, 2973.85, '2023-05-21', '9 months', 'any', 'any', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (109, 'Teresa Run', 'Suite 678', 855, 'apartment with parking', 'new.jpg', 1, 2, 'single', NULL, 1815.72, '2024-03-08', '6 months', 'any', 'yes', 'no', 'no', 'any', 'San Jose', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (110, 'Griffin Meadow', 'Apt. 856', 2647, 'pool access', 'on.jpg', 4, 2, 'single', NULL, 1867.46, '2024-12-24', '15 months', 'any', 'any', 'no', 'no', 'veg', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (112, 'Schmitt Estates', 'Apt. 105', 650, 'spacious apartment', 'strong.jpg', 1, 2, 'single', NULL, 2105.13, '2024-02-21', '7 months', 'any', 'any', 'yes', 'yes', 'any', 'San Francisco', 'NULL');
INSERT INTO Listings (user_id, apartment_name, address, area, description, photos, no_of_bedrooms, no_of_bathrooms, accommodation_type, no_of_people_sharing, rent, available_from, lease_duration, smoking_preference, drinking_preference, has_smoker, has_drinker, veg_status, city, landmarks) VALUES (113, 'Wilkerson Dale', 'Suite 028', 2733, 'pet-friendly', 'sit.jpg', 4, 1, 'sharing', 4.0, 2649.48, '2024-07-22', '17 months', 'any', 'any', 'no', 'no', 'veg', 'San Francisco', 'NULL');
